name
Associa-se a todas articulações territoriais
Estruturação do Arco do Futuro
Fortalecimento das centralidades locais e das redes de equipamentos públicos
Ordenação das Bordas da Cidade
Requalificação da Área Central
Resgate da cidadania nos territórios mais vulneráveis
Rede de Centralidades
